U,N,loglik,Nabf,Nparam,Nrep_per_param,prop,alpha,iota,R0,amplitude,cohort,gamma,sigma,mu,sigmaSE,rho,psi,g,notes
10,208,-8702.54555496857,15,250,35000,0.8,1,0,22.9673605813208,0.520900154438252,0,55.1062872145851,42.4822565536655,0.02,0.150836167986485,0.5,0.173441468755153,800,sim_study_2
10,208,-8687.33400010944,15,250,35000,0.8,1,0,25.973704375023,0.478071089506673,0,49.6704532324614,51.1536449208245,0.02,0.132998687782507,0.5,0.188136827441772,500,sim_study_2
10,208,-8672.26304352962,15,250,35000,0.8,1,0,25.7097268080925,0.488841552064369,0,51.2485450815869,55.9200922520102,0.02,0.123340605871526,0.5,0.179561606566591,300,sim_study_2
10,208,-8697.55323824628,15,250,35000,0.8,1,0,21.430626304474,0.487358050809411,0,53.2519753719269,50.0399158982836,0.02,0.13808856534961,0.5,0.171115149246801,1100,sim_study_2
10,208,-8669.19333982442,15,250,35000,0.8,1,0,31.8602971879018,0.528214273231296,0,54.5927066435939,50.2021881987097,0.02,0.115782215068854,0.5,0.188796438238655,200,sim_study_2
10,208,-8696.37218459314,15,250,35000,0.8,1,0,27.5367790997258,0.54012534995353,0,53.158533018877,44.5105425099588,0.02,0.14575948477061,0.5,0.168023471299347,900,sim_study_2
10,208,-8667.01877982945,15,250,35000,0.8,1,0,30.2406803643522,0.524227629632875,0,55.7845391230008,43.0275974304444,0.02,0.135299169631791,0.5,0.175577905581678,300,sim_study_2
10,208,-8668.30177917414,15,250,35000,0.8,1,0,32.0803953935476,0.518238740631201,0,46.0044698153551,58.1808976243319,0.02,0.124338629090971,0.5,0.168063150846782,200,sim_study_2
10,208,-8678.5423344714,15,250,35000,0.8,1,0,22.0748590723595,0.518678514765757,0,56.0585967047283,54.3399343747465,0.02,0.118794656232682,0.5,0.165622068042803,700,sim_study_2
10,208,-8671.40936290776,15,250,35000,0.8,1,0,27.949472432794,0.526860822999876,0,46.9603712717821,54.0057187988077,0.02,0.130379962264479,0.5,0.173301133010153,300,sim_study_2
